tasks,labels
"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",0
Supervise employees or volunteers working on sustainability projects.,0
"Research environmental sustainability issues, concerns, or stakeholder interests.",0
Develop methodologies to assess the viability or success of sustainability initiatives.,0
Monitor and evaluate effectiveness of sustainability programs.,0
"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",0
"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",0
"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",0
"Create and maintain sustainability program documents, such as schedules and budgets.",0
Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,0
"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",0
"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",0
"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",0
Formulate or implement sustainability campaign or marketing strategies.,0
Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,0
Conduct sustainability- or environment-related risk assessments.,0
"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",0
Write and distribute financial or environmental impact reports.,0
"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",0
"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",0
Direct administrative activities directly related to making products or providing services.,0
Prepare staff work schedules and assign specific duties.,0
Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,0
"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",0
"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",0
"Perform personnel functions such as selection, training, or evaluation.",0
Plan or direct activities such as sales promotions that require coordination with other department managers.,0
Set prices or credit terms for goods or services based on forecasts of customer demand.,0
"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",0
"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",0
"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",0
Recommend locations for new facilities or oversee the remodeling or renovating of current facilities.,0
"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",0
"Direct non-merchandising departments of businesses, such as advertising or purchasing.",0
Plan store layouts or design displays.,0
Analyze and understand the local and national implications of proposed legislation.,0
"Appoint nominees to leadership posts, or approve such appointments.",0
Confer with colleagues to formulate positions and strategies pertaining to pending issues.,0
"Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure.",0
Develop expertise in subject matters related to committee assignments.,0
"Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration.",0
"Keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts.",0
Maintain knowledge of relevant national and international current events.,0
"Make decisions that balance the perspectives of private citizens, public officials, and party leaders.",0
"Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements.",0
"Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.",0
Read and review concerns of constituents or the general public and determine if governmental action is necessary.,0
"Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.",0
"Review bills in committee, and make recommendations about their future.",0
Seek federal funding for local projects and programs.,0
"Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action.",0
"Vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor.",0
"Write, prepare, and deliver statements for the Congressional Record.",0
"Alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings.",0
"Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships.",0
"Conduct ""head counts"" to help predict the outcome of upcoming votes.",0
"Determine campaign strategies for media advertising, positions on issues, and public appearances.",0
Encourage and support party candidates for political office.,0
"Establish personal offices in local districts or states, and manage office staff.",0
"Evaluate the structure, efficiency, activities, and performance of government agencies.",0
"Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election.",0
"Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year.",0
Promote the industries and products of their electoral districts.,0
"Represent their government at local, national, and international meetings and conferences.",0
Speak to students to encourage and support the development of future political leaders.,0
"Inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.",0
"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",0
Gather and organize information to plan advertising campaigns.,0
Confer with clients to provide marketing or technical advice.,0
"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",0
"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",0
Prepare budgets and submit estimates for program costs as part of campaign plan development.,0
Prepare and negotiate advertising and sales contracts.,0
Plan and execute advertising policies and strategies for organizations.,0
Assist with annual budget development.,0
Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,0
Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,0
Direct and coordinate product research and development.,0
"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",0
Represent company at trade association meetings to promote products.,0
"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",0
Consult publications to learn about conventions and social functions and to organize prospect files for promotional purposes.,0
"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",0
Train and direct workers engaged in developing and producing advertisements.,0
Track program budgets and expenses and campaign response rates to evaluate each campaign based on program objectives and industry norms.,0
Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,0
Coordinate with the media to disseminate advertising.,0
Contact organizations to explain services and facilities offered.,0
"Manage sales team including setting goals, providing incentives, and evaluating employee performance.",0
"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support and action, to further campaign goals.",0
Analyze green product marketing or sales trends to forecast future conditions.,0
Analyze the effectiveness of marketing tactics or channels.,0
"Attend or participate in conferences, community events, and promotional events related to green products or technologies.",0
"Conduct research on consumer opinions and buying habits, and identify target audiences for green products, services, or technologies.",0
"Develop branding or sales initiatives for green products, such as solar energy systems, green cleaning products, or products using renewable or recycled materials.",0
"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of green products and technologies.",0
"Develop comprehensive marketing strategies, using knowledge of green products and technologies, markets, and regulations.",0
Identify marketing channels for green products or services.,0
"Revise existing marketing plans or campaigns for green products, technologies, or services.",0
"Write marketing content for green product web sites, brochures, or other communication media.",0
"Analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.",0
Coordinate with other marketing team members and workers such as graphic artists to develop and implement marketing programs.,0
"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",0
Generate or identify sales leads for green products and technologies.,0
"Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.",0
Monitor green-related industry statistics or literature to identify trends.,0
"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",0
"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",0
"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",0
"Develop pricing strategies, balancing firm objectives and customer satisfaction.",0
Compile lists describing product or service offerings.,0
"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",0
"Consult with product development personnel on product specifications such as design, color, or packaging.",0
"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",0
"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",0
"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",0
Initiate market research studies or analyze their findings.,0
"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",0
Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,0
Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.,0
Conduct economic or commercial surveys to identify potential markets for products or services.,0
"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",0
"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0
Select products or accessories to be displayed at trade or special production shows.,0
Develop business cases for environmental marketing strategies.,0
"Integrate environmental information into product or company marketing strategies, policies, or activities.",0
"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate or other subjects of sale.",0
Resolve customer complaints regarding sales and service.,0
Review operational records and reports to project sales and determine profitability.,0
Oversee regional and local sales managers and their staffs.,0
Determine price schedules and discount rates.,0
Prepare budgets and approve budget expenditures.,0
Monitor customer preferences to determine focus of sales efforts.,0
"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",0
"Direct, coordinate, and review activities in sales and service accounting and record-keeping, and in receiving and shipping operations.",0
"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",0
Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,0
Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,0
Represent company at trade association meetings to promote products.,0
Confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase.,0
"Assess marketing potential of new and existing store locations, considering statistics and expenditures.",0
Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,0
Direct foreign sales and service outlets of an organization.,0
"Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.",0
"Develop and maintain the company's corporate image and identity, which includes the use of logos and signage.",0
"Manage special events, such as sponsorship of races, parties introducing new products, or other activities the firm supports, to gain public attention through the media without advertising directly.",0
"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages.",0
"Design and edit promotional publications, such as brochures.",0
"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities.",0
Evaluate advertising and promotion programs for compatibility with public relations efforts.,0
"Facilitate consumer relations or the relationship between parts of the company, such as the managers and employees, or different branch offices.",0
"Establish goals for soliciting funds, develop policies for collection and safeguarding of contributions, and coordinate disbursement of funds.",0
"Assign, supervise, and review the activities of public relations staff.",0
Manage communications budgets.,0
Draft speeches for company executives and arrange interviews and other forms of contact for them.,0
Respond to requests for information about employers' activities or status.,0
"Direct activities of external agencies, establishments, and departments that develop and implement communication strategies and information programs.",0
"Develop, implement, and maintain crisis communication plans.",0
"Formulate policies and procedures related to public information programs, working with public relations executives.",0
"Produce films and other video products, regulate their distribution, and operate film library.",0
Confer with labor relations managers to develop internal communications that keep employees informed of company activities.,0
"Observe and report on social, economic, and political trends that might affect employers.",0
Maintain company archives.,0
Manage in-house communication courses.,0
"Monitor the facility to ensure that it remains safe, secure, and well-maintained.",0
Prepare and review operational reports and schedules to ensure accuracy and efficiency.,0
Set goals and deadlines for the department.,0
"Acquire, distribute and store supplies.",0
"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",0
Conduct classes to teach procedures to staff.,0
"Plan, administer, and control budgets for contracts, equipment, and supplies.",0
Hire and terminate clerical and administrative personnel.,0
"Direct or coordinate the supportive services department of a business, agency, or organization.",0
"Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations.",0
"Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems.",0
Manage leasing of facility space.,0
"Participate in architectural and engineering planning and design, including space and installation management.",0
"Dispose of, or oversee the disposal of, surplus or unclaimed property.",0
"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",0
"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.",0
Review project plans to plan and coordinate project activity.,0
"Assign and review the work of systems analysts, programmers, and other computer-related workers.",0
Provide users with technical support for computer problems.,0
"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",0
"Recruit, hire, train and supervise staff, or participate in staffing decisions.",0
Stay abreast of advances in technology.,0
"Consult with users, management, vendors, and technicians to assess computing needs and system requirements.",0
"Develop and interpret organizational goals, policies, and procedures.",0
"Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades.",0
Review and approve all systems charts and programs prior to their implementation.,0
Prepare and review operational reports or project progress reports.,0
Evaluate data processing proposals to assess project feasibility and requirements.,0
Control operational budget and expenditures.,0
Purchase necessary equipment.,0
"Manage backup, security and user help systems.",0
"Supervise employees performing financial reporting, accounting, billing, collections, payroll, and budgeting duties.",0
"Coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization.",0
"Develop internal control policies, guidelines, and procedures for activities such as budget administration, cash and credit management, and accounting.",0
"Maintain current knowledge of organizational policies and procedures, federal and state policies and directives, and current accounting standards.",0
"Prepare or direct preparation of financial statements, business activity reports, financial position forecasts, annual budgets, or reports required by regulatory agencies.",0
Provide direction and assistance to other organizational units regarding accounting and budgeting policies and procedures and efficient control and utilization of financial resources.,0
"Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",0
"Advise management on short-term and long-term financial objectives, policies, and actions.",0
"Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met.",0
Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.,0
"Monitor and evaluate the performance of accounting and other financial staff, recommending and implementing personnel actions, such as promotions and dismissals.",0
"Develop and maintain relationships with banking, insurance, and nonorganizational accounting personnel to facilitate financial activities.",0
"Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.",0
"Delegate authority for the receipt, disbursement, banking, protection, and custody of funds, securities, and financial instruments.",0
Conduct or coordinate audits of company accounts and financial transactions to ensure compliance with state and federal requirements and statutes.,0
Lead staff training and development in budgeting and financial management areas.,0
Prepare and file annual tax returns or prepare financial information so that outside accountants can complete tax returns.,0
"Compute, withhold, and account for all payroll deductions.",0
"Handle all aspects of employee insurance, benefits, and casualty programs, including monitoring changes in health insurance regulations and creating budgets for benefits and worker's compensation.",0
Receive cash and checks and make deposits.,0
Perform tax planning work.,0
"Determine depreciation rates to apply to capitalized items and advise management on actions regarding the purchase, lease, or disposal of such items.",0
"Plan, direct, or coordinate the activities of workers in branches, offices, or departments of establishments, such as branch banks, brokerage firms, risk and insurance departments, or credit departments.",0
Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.,0
Recruit staff members.,0
Prepare operational or risk reports for management analysis.,0
Evaluate data pertaining to costs to plan budgets.,0
Oversee training programs.,0
"Examine, evaluate, or process loan applications.",0
"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.",0
Oversee the flow of cash or financial instruments.,0
"Prepare financial or regulatory reports required by laws, regulations, or boards of directors.",0
Develop or analyze information to assess the current or future financial status of firms.,0
Communicate with stockholders or other investors to provide information or to raise capital.,0
"Evaluate financial reporting systems, accounting or collection procedures, or investment activities and make recommendations for changes to procedures, operating systems, budgets, or other financial control functions.",0
Analyze and classify risks and investments to determine their potential impacts on companies.,0
Network within communities to find and attract new business.,0
Review collection reports to determine the status of collections and the amounts of outstanding balances.,0
"Establish procedures for custody or control of assets, records, loan collateral, or securities to ensure safekeeping.",0
"Plan, direct, and coordinate risk and insurance programs of establishments to control risks and losses.",0
Review reports of securities transactions or price lists to analyze market conditions.,0
"Direct insurance negotiations, select insurance brokers or carriers, and place insurance.",0
Submit delinquent accounts to attorneys or outside agencies for collection.,0
"Review processing schedules or production orders to make decisions concerning inventory requirements, staffing requirements, work procedures, or duty assignments, considering budgetary limitations and time constraints.",0
"Direct or coordinate production, processing, distribution, or marketing activities of industrial organizations.",0
"Develop or implement production tracking or quality control systems, analyzing production, quality control, maintenance, or other operational reports, to detect production problems.",0
Review operations and confer with technical or administrative staff to resolve production or processing problems.,0
"Hire, train, evaluate, or discharge staff or resolve personnel grievances.",0
Prepare and maintain production reports or personnel records.,0
"Set and monitor product standards, examining samples of raw products or directing testing during processing, to ensure finished products are of prescribed quality.",0
"Develop budgets or approve expenditures for supplies, materials, or human resources, ensuring that materials, labor, or equipment are used efficiently to meet production targets.",0
Initiate or coordinate inventory or cost control programs.,0
"Coordinate or recommend procedures for facility or equipment maintenance or modification, including the replacement of machines.",0
Review plans and confer with research or support staff to develop new products or processes.,0
Institute employee suggestion or involvement programs.,0
"Maintain current knowledge of the quality control field, relying on current literature pertaining to materials use, technological advances, or statistical studies.",0
Negotiate materials prices with suppliers.,0
Collect and analyze production samples to evaluate quality.,0
Analyze quality control test results and provide feedback and interpretation to production management or staff.,0
Stop production if serious product defects are present.,0
Monitor performance of quality control systems to ensure effectiveness and efficiency.,0
"Communicate quality control information to all relevant organizational departments, outside vendors, or contractors.",0
Instruct staff in quality control and analytical procedures.,0
"Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends.",0
Participate in the development of product specifications.,0
"Review statistical studies, technological advances, or regulatory standards and trends to stay abreast of issues in the field of quality control.",0
Identify critical points in the manufacturing process and specify sampling procedures to be used at these points.,0
Create and implement inspection and testing criteria or procedures.,0
"Oversee workers including supervisors, inspectors, or laboratory workers engaged in testing activities.",0
"Document testing procedures, methodologies, or criteria.",0
Review and update standard operating procedures or quality assurance manuals.,0
Identify quality problems or areas for improvement and recommend solutions.,0
"Verify that raw materials, purchased parts or components, in-process samples, and finished products meet established testing and inspection standards.",0
Review quality documentation necessary for regulatory submissions and inspections.,0
Generate and maintain quality control operating budgets.,0
"Direct the tracking of defects, test results, or other regularly reported quality control data.",0
Evaluate new testing and sampling methodologies or technologies to determine usefulness.,0
Direct product testing activities throughout production cycles.,0
"Instruct vendors or contractors on quality guidelines, testing procedures, or ways to eliminate deficiencies.",0
"Coordinate the selection and implementation of quality control equipment, such as inspection gauges.",0
Monitor development of new products to help identify possible problems for mass production.,0
Confer with marketing and sales departments to define client requirements and expectations.,0
Review and approve quality plans submitted by contractors.,0
Audit and inspect subcontractor facilities including external laboratories.,0
Supervise employees in geothermal power plants or well fields.,0
"Oversee geothermal plant operations, maintenance, and repairs to ensure compliance with applicable standards or regulations.",0
Communicate geothermal plant conditions to employees.,0
"Identify and evaluate equipment, procedural, or conditional inefficiencies involving geothermal plant systems.",0
Perform or direct the performance of preventative maintenance on geothermal plant equipment.,0
Inspect geothermal plant or injection well fields to verify proper equipment operations.,0
Develop or manage budgets for geothermal operations.,0
Select and implement corrosion control or mitigation systems for geothermal plants.,0
Develop operating plans and schedules for geothermal operations.,0
"Record, review, or maintain daily logs, reports, maintenance, and other records associated with geothermal operations.",0
"Monitor geothermal operations, using programmable logic controllers.",0
Conduct well field site assessments.,0
"Identify opportunities to improve plant electrical equipment, controls, or process control methodologies.",0
Prepare environmental permit applications or compliance reports.,0
Negotiate interconnection agreements with other utilities.,0
"Obtain permits for constructing, upgrading, or operating geothermal power plants.",0
Troubleshoot and make minor repairs to geothermal plant instrumentation or electrical systems.,0
"Supervise production employees in the manufacturing of biofuels, such as biodiesel or ethanol.",0
"Manage operations at biofuels power generation facilities, including production, shipping, maintenance, or quality assurance activities.",0
"Provide direction to employees to ensure compliance with biofuels plant safety, environmental, or operational standards and regulations.",0
"Confer with technical and supervisory personnel to report or resolve conditions affecting biofuels plant safety, operational efficiency, and product quality.",0
"Review logs, datasheets, or reports to ensure adequate production levels or to identify abnormalities with biofuels production equipment or processes.",0
"Monitor meters, flow gauges, or other real-time data to ensure proper operation of biofuels production equipment, implementing corrective measures as needed.",0
"Adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels.",0
Provide training to subordinate or new employees to improve biofuels plant safety or increase the production of biofuels.,0
"Shut down and restart biofuels plant or equipment in emergency situations or for equipment maintenance, repairs, or replacements.",0
Monitor transportation and storage of flammable or other potentially dangerous feedstocks or products to ensure adherence to safety guidelines.,0
Draw samples of biofuels products or secondary by-products for quality control testing.,0
"Approve proposals for the acquisition, replacement, or repair of biofuels processing equipment or the implementation of new production processes.",0
Prepare and manage biofuels plant or unit budgets.,0
"Conduct cost, material, and efficiency studies for biofuels production plants or operations.",0
"Review logs, datasheets, or reports to ensure adequate production levels and safe production environments or to identify abnormalities with power production equipment or processes.",0
Review biomass operations performance specifications to ensure compliance with regulatory requirements.,0
"Supervise biomass plant or substation operations, maintenance, repair, or testing activities.",0
Prepare and manage biomass plant budgets.,0
"Supervise operations or maintenance employees in the production of power from biomass, such as wood, coal, paper sludge, or other waste or refuse.",0
"Monitor the operating status of biomass plants by observing control system parameters, distributed control systems, switchboard gauges, dials, or other indicators.",0
"Inspect biomass gasification processes, equipment, and facilities for ways to maximize capacity and minimize operating costs.",0
"Conduct field inspections of biomass plants, stations, or substations to ensure normal and safe operating conditions.",0
"Plan and schedule plant activities, such as wood, waste, or refuse fuel deliveries, ash removal, and regular maintenance.",0
Evaluate power production or demand trends to identify opportunities for improved operations.,0
"Prepare reports on biomass plant operations, status, maintenance, and other information.",0
Manage parts and supply inventories for biomass plants.,0
"Monitor and operate communications systems, such as mobile radios.",0
Compile and record operational data on forms or in log books.,0
"Shut down and restart biomass power plants or equipment in emergency situations or for equipment maintenance, repairs, or replacements.",0
"Test, maintain, or repair electrical power distribution machinery or equipment, using hand tools, power tools, and testing devices.",0
Adjust equipment controls to generate specified amounts of electrical power.,0
"Operate controls to start, stop, or regulate biomass-fueled generators, generator units, boilers, engines, or auxiliary systems.",0
Monitor and control liquid or gas landfill extraction systems.,0
"Oversee gas collection landfill operations, including leachate and gas management or rail operations.",0
"Develop or enforce procedures for normal operation, start-up, or shut-down of methane gas collection systems.",0
Evaluate landfill gas collection service requirements to meet operational plans and productivity goals.,0
Implement landfill operational and emergency procedures.,0
Inspect landfill or conduct site audits to ensure adherence to safety and environmental regulations.,0
"Maintain records for landfill gas collection systems to demonstrate compliance with safety and environmental laws, regulations, or policies.",0
"Monitor gas collection systems emissions data, including biomethane or nitrous oxide levels.",0
Monitor landfill permit requirements for updates.,0
Operate computerized control panels to manage gas compression operations.,0
Optimize gas collection landfill operational costs and productivity consistent with safety and environmental rules and regulations.,0
"Oversee landfill gas collection system construction, maintenance, and repair activities.",0
Prepare and manage landfill gas collection system budgets.,0
Prepare soil reports as required by regulatory or permitting agencies.,0
"Supervise landfill, well field, and other subordinate employees.",0
"Read meters, gauges, or automatic recording devices at specified intervals to verify gas collection systems operating conditions.",0
"Coordinate the repair, overhaul, or routine maintenance of diesel engines used in landfill operations.",0
Diagnose or troubleshoot gas collection equipment and programmable logic controller (PLC) systems.,0
Prepare reports on landfill operations and gas collection system productivity or efficiency.,0
Recommend or implement practices to reduce turnaround time for trucks in and out of landfill site.,0
Track volume and weight of landfill waste.,0
"Direct operations, maintenance, or repair of hydroelectric power facilities.",0
Identify and communicate power system emergencies.,0
"Maintain records of hydroelectric facility operations, maintenance, or repairs.",0
Perform or direct preventive or corrective containment or cleanup to protect the environment.,0
"Monitor or inspect hydroelectric equipment, such as hydro-turbines, generators, or control systems.",0
"Inspect hydroelectric facilities, including switchyards, control houses, or relay houses, for normal operation or adherence to safety standards.",0
Supervise or monitor hydroelectric facility operations to ensure that generation or mechanical equipment conform to applicable regulations or standards.,0
Plan or coordinate hydroelectric production operations to meet customer requirements.,0
"Check hydroelectric operations for compliance with prescribed operating limits, such as loads, voltages, temperatures, lines, or equipment.",0
"Develop or implement projects to improve efficiency, economy, or effectiveness of hydroelectric plant operations.",0
Provide technical direction in the erection or commissioning of hydroelectric equipment or supporting electrical or mechanical systems.,0
"Supervise hydropower plant equipment installations, upgrades, or maintenance.",0
Plan or manage hydroelectric plant upgrades.,0
"Respond to problems related to ratepayers, water users, power users, government agencies, educational institutions, or other private or public power resource interests.",0
"Develop or review budgets, annual plans, power contracts, power rates, standing operating procedures, power reviews, or engineering studies.",0
Develop or implement policy evaluation procedures for hydroelectric generation activities.,0
"Operate energized high- or low-voltage hydroelectric power transmission system substations, according to procedures and safety requirements.",0
Create or enforce hydrostation voltage schedules.,0
Negotiate power generation contracts with other public or private utilities.,0
Represent companies in negotiating contracts and formulating policies with suppliers.,0
"Direct and coordinate activities of personnel engaged in buying, selling, and distributing materials, equipment, machinery, and supplies.",0
"Interview and hire staff, and oversee staff training.",0
"Locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales.",0
Prepare and process requisitions and purchase orders for supplies and equipment.,0
"Develop and implement purchasing and contract management instructions, policies, and procedures.",0
Maintain records of goods ordered and received.,0
"Participate in the development of specifications for equipment, products or substitute materials.",0
Analyze market and delivery systems to assess present and future material availability.,0
"Resolve vendor or contractor grievances, and claims against suppliers.",0
Control purchasing department budgets.,0
"Review, evaluate, and approve specifications for issuing and awarding bids.",0
Review purchase order claims and contracts for conformance to company policy.,0
Administer online purchasing systems.,0
Prepare reports regarding market conditions and merchandise costs.,0
Prepare bid awards requiring board approval.,0
Arrange for disposal of surplus materials.,0
"Plan, organize, or manage the work of subordinate staff to ensure that the work is accomplished in a manner consistent with organizational requirements.",0
"Direct activities related to dispatching, routing, or tracking transportation vehicles, such as aircraft or railroad cars.",0
"Monitor operations to ensure that staff members comply with administrative policies and procedures, safety rules, union contracts, environmental policies, or government regulations.",0
Serve as contact persons for all workers within assigned territories.,0
Implement schedule or policy changes for transportation services.,0
Monitor spending to ensure that expenses are consistent with approved budgets.,0
"Promote safe work activities by conducting safety audits, attending company safety meetings, or meeting with individual staff members.",0
"Prepare management recommendations, such as proposed fee and tariff increases or schedule changes.",0
Direct investigations to verify and resolve customer or shipper complaints.,0
"Direct or coordinate the activities of operations department to obtain use of equipment, facilities, or human resources.",0
"Analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",0
"Collaborate with other managers or staff members to formulate and implement policies, procedures, goals, or objectives.",0
